Real duration,Prediction duration
1850.0,1751.5086237192154
1532.0,1850.4822113513947
1257.0,1760.1277678012848
1892.0,1882.2139244675636
1847.0,1750.724315047264
1872.0,1921.920745253563
2301.0,1754.8308614492416
2603.0,1788.2967609465122
1075.0,1686.6476862430573
2373.0,1766.0344024896622
1770.0,1688.437786102295
1071.0,1853.9312586784363
1619.0,1717.8942006528378
2111.0,1756.3152285814285
1320.0,1573.0918635129929
1652.0,1830.7224967479706
1512.0,1766.5443551242352
1809.0,1899.983879238367
1947.0,1858.0687474906445
1896.0,1757.2860602736473
1531.0,1634.2235348522663
1978.0,1876.5255151987076
1626.0,1550.3546204864979
1413.0,1834.6325317025185
1242.0,1736.787527769804
1538.0,1840.507681131363
1476.0,1913.9371691346169
2302.0,2172.127805709839
2145.0,1832.594241142273
1450.0,1756.3176171183586
1675.0,1761.0250976979733
1777.0,1848.352939248085
2110.0,1816.8004749715328
2691.0,2006.1205805540085
2171.0,1755.3966189920902
2252.0,1715.2273991703987
1705.0,1751.5888568460941
3283.0,1950.874155640602
2076.0,1798.3035364151
1501.0,1629.0946946442127
1808.0,2024.0309161543846
2157.0,1665.9112771749496
869.0,1769.6743156313896
1279.0,2479.8124017119408
1295.0,1750.0104682147503
1619.0,1950.381248474121
1601.0,1758.744587779045
1748.0,1803.7824058532715
1681.0,1794.683382987976
1675.0,1913.7488004267216
2111.0,1791.2128388285637
1866.0,1456.8082230389118
206.0,1814.2465861439705
2247.0,1588.6308162212372
1369.0,1760.6428232192993
1513.0,1954.382699251175
1181.0,1816.839125841856
1495.0,1648.803272843361
2106.0,1624.628564864397
2223.0,1785.4270423948765
2586.0,1788.3746055364609
197.0,1759.233912140131
2284.0,1801.8420453071594
1387.0,1883.1296026706696
1472.0,1689.6501857340336
1960.0,1572.1584884226322
1438.0,1814.3894640803337
1516.0,1591.7012804448605
2300.0,1718.7377884685993
1876.0,1674.7345325946808
1765.0,1759.0281722545624
2035.0,1646.5163573026657
2427.0,1874.4764762222767
1229.0,1847.355507940054
1891.0,1777.5180537700653
1396.0,2126.6224858164787
1865.0,1782.73950406909
1406.0,1835.1732096076012
2078.0,2064.8158356547356
2327.0,1786.7580003142357
1982.0,1857.6249139010906
2099.0,1732.691078364849
1349.0,1549.9965570867062
1889.0,1736.77471652627
1432.0,2442.8330729603767
2082.0,1779.7682726979256
2304.0,1718.7859934866428
2037.0,1761.7422016263008
1549.0,1640.2073627114296
1895.0,1713.8665845394135
2580.0,1826.1052377223969
1393.0,2284.518022418022
2074.0,1758.515071094036
1922.0,1755.345156878233
1232.0,1906.3246847987175
1941.0,1811.9926758408546
1633.0,1736.9365941882133
1606.0,1770.7157177329063
1886.0,1763.2105004191399
1951.0,1717.5290802121162
2006.0,1692.2057031095028
2201.0,1703.7671989798546
1777.0,1755.0003390014172
1238.0,1405.643482029438
1634.0,1806.78305965662
1501.0,2109.978291928768
2016.0,1616.291593849659
2386.0,1758.8279694318771
2132.0,1976.8505804538727
2291.0,1786.653121829033
1240.0,1786.368668794632
1907.0,1791.146828353405
1928.0,1858.5417863726616
1622.0,1785.9689145684242
1986.0,1854.1134389042854
2343.0,1664.5009546875954
2613.0,1812.1065656244755
2031.0,1772.6660667061806
1598.0,1757.482354581356
2386.0,1845.6393441557884
1459.0,1755.925245642662
2259.0,1797.06236577034
971.0,1630.8985828757286
1114.0,1761.4718626737595
1159.0,1977.1828042268753
1267.0,1771.5767852962017
948.0,1841.8802213072777
1858.0,1817.0976306796074
1991.0,1732.706929564476
1780.0,1657.1838889420033
1433.0,1662.7383230030537
2385.0,1775.6549949645996
1897.0,1707.1851953268051
1071.0,1872.383683592081
1921.0,1892.611660003662
1466.0,1853.3875408172607
2160.0,1728.2407997846603
959.0,1932.7019495368004
1538.0,1774.1087430119514
1417.0,1761.2193291783333
1723.0,1722.4648832082748
912.0,1797.0578058362007
2170.0,1745.6575767993927
1090.0,2002.193608701229
1759.0,1733.0890954732895
971.0,1664.1669937968254
1582.0,1872.4313457608223
2770.0,1626.7978992462158
2050.0,1848.4416408240795
1075.0,1783.2561880350113
1898.0,1779.2056636810303
2283.0,1918.8645036816597
1446.0,1969.053744494915
1266.0,1794.4646147191525
1408.0,1810.1220171451569
2290.0,1982.91116720438
1898.0,1877.6804813742638
1601.0,1699.3442800045013
1422.0,1672.0972621142864
1293.0,1859.7964196801186
1706.0,1694.0154541134834
1722.0,1751.0487217903137
1443.0,1850.9746842384338
2150.0,1715.1266463398933
1404.0,1834.881808102131
2013.0,1828.4101758599281
2271.0,1712.6586362719536
2017.0,1568.7790343761444
2194.0,1871.8652625083923
2355.0,1795.0280922949314
1618.0,1814.8522973954678
1952.0,1765.1210042536259
1639.0,1942.33014190197
2253.0,1697.024142086506
1647.0,2203.637819170952
1925.0,1794.7066169381142
1265.0,1500.4872893095016
1997.0,1647.5964102745056
1894.0,1848.6370665729046
1342.0,1757.192690193653
1949.0,1719.3966989517212
1862.0,1736.9429998099804
1895.0,1662.9442800283432
1980.0,2123.771441280842
2313.0,1904.6431547999382
201.0,1764.370895087719
1379.0,1769.0417876243591
196.0,1944.3755980730057
1658.0,1784.2257168889046
1385.0,1735.1258660554886
1470.0,1740.20682695508
1370.0,1979.2451972961426
2583.0,1659.8144280910492
1838.0,1745.0248316526413
2237.0,1872.963012367487
1566.0,1806.6561414897442
1462.0,1635.7875922620296
2101.0,1821.500029951334
1919.0,1859.5104466676712
1327.0,1769.483992666006
1932.0,1775.9466136097908
1809.0,1966.5512092113495
1847.0,1842.6791869103909
669.0,1791.2358556389809
1896.0,1746.546329677105
1749.0,2224.3583770394325
1494.0,1666.2408952713013
1283.0,1736.967536598444
1900.0,1644.640270113945
1554.0,1777.6005668640137
2182.0,1750.330857872963
1919.0,1891.0175287425518
1614.0,1727.6013233065605
1593.0,1831.2897742688656
2419.0,1905.8819369077682
1318.0,1807.2273275256157
2740.0,1696.3487289845943
2621.0,1473.318984568119
1202.0,1869.445891737938
1737.0,1761.600843667984
1540.0,1692.0886647999287
2007.0,1749.1061898469925
197.0,1845.1531683206558
1861.0,1756.367233544588
1501.0,1576.3392966091633
2393.0,1764.3841406106949
1362.0,1773.1543053686619
1816.0,1768.6160852015018
2171.0,1820.8107199072838
1801.0,1659.8426562547684
2705.0,1751.7440031766891
1557.0,1639.2833246290684
