summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
SYNNNNK,180,"('GOLD', 'I', 7)",False,480.7,5318817876,1503,True
Tenta Cull,198,"('GOLD', 'I', 85)",False,488.5,5318817876,1503,True
Wambσ,242,"('GOLD', 'IV', 0)",False,420.0,5318817876,1503,True
Rengar Clegane,211,"('GOLD', 'I', 53)",False,485.3,5318817876,1503,True
Certinh0,299,"('GOLD', 'II', 22)",False,462.2,5318817876,1503,True
GoldChronos,137,"('GOLD', 'III', 33)",False,443.3,5318817876,1503,False
PornHubPremiùm,179,"('GOLD', 'II', 14)",False,461.4,5318817876,1503,False
UKXYH  THE BUG,197,"('GOLD', 'IV', 14)",False,421.4,5318817876,1503,False
CryingGodQAQ,397,"('GOLD', 'III', 52)",False,445.2,5318817876,1503,False
yZBard,113,"('GOLD', 'II', 46)",False,464.6,5318817876,1503,False
