summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Zorgryszon,39,"('GOLD', 'IV', 0)",False,420.0,5318858354,2248,False
perinho,141,"('GOLD', 'IV', 0)",False,420.0,5318858354,2248,False
Henk Sinatra,403,"('GOLD', 'III', 16)",False,441.6,5318858354,2248,False
MelloR,310,"('SILVER', 'IV', 63)",False,326.3,5318858354,2248,False
Yewon18,159,"('GOLD', 'IV', 19)",False,421.9,5318858354,2248,False
CRASE,123,"('SILVER', 'I', 53)",False,385.3,5318858354,2248,True
DooM1sS,137,"('SILVER', 'II', 45)",False,364.5,5318858354,2248,True
Fabiorave,248,"('SILVER', 'I', 14)",False,381.4,5318858354,2248,True
El Grety RD,399,"('GOLD', 'IV', 10)",False,421.0,5318858354,2248,True
Téthys12,358,"('GOLD', 'IV', 0)",False,420.0,5318858354,2248,True
