summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Dontaps,357,"('PLATINUM', 'II', 12)",False,561.2,5318849205,2404,True
Katxrina,122,"('GOLD', 'I', 55)",False,485.5,5318849205,2404,True
ChoKINGG,62,"('GOLD', 'II', 60)",False,466.0,5318849205,2404,True
pale blue skies,42,"('GOLD', 'I', 3)",False,480.3,5318849205,2404,True
kharaki boy,369,"('PLATINUM', 'II', 30)",False,563.0,5318849205,2404,True
BRiNiS MaStER,339,"('PLATINUM', 'IV', 36)",False,523.6,5318849205,2404,False
Shubangelion,374,"('PLATINUM', 'IV', 46)",False,524.6,5318849205,2404,False
Konyweng99,140,"('GOLD', 'I', 32)",False,483.2,5318849205,2404,False
UJIEJERJJZDFJKBS,618,"('PLATINUM', 'III', 48)",False,544.8,5318849205,2404,False
feet addict UwU,502,"('GOLD', 'I', 14)",False,481.4,5318849205,2404,False
