summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Reveng,149,"('PLATINUM', 'IV', 32)",False,523.2,5318857136,913,True
S1xCo3ur,135,"('PLATINUM', 'IV', 75)",False,527.5,5318857136,913,True
eDxPLawrence,66,"('PLATINUM', 'III', 0)",False,540.0,5318857136,913,True
Borcha,57,"('PLATINUM', 'III', 4)",False,540.4,5318857136,913,True
T y,287,"('PLATINUM', 'III', 75)",False,547.5,5318857136,913,True
Tsuýoku,43,"('PLATINUM', 'IV', 68)",False,526.8,5318857136,913,False
turbomen66,43,"('PLATINUM', 'IV', 65)",False,526.5,5318857136,913,False
NescafeInJungle,37,"('PLATINUM', 'III', 0)",False,540.0,5318857136,913,False
TaIiyah,216,"('PLATINUM', 'IV', 79)",False,527.9,5318857136,913,False
ObiiKing,260,"('PLATINUM', 'III', 0)",False,540.0,5318857136,913,False
