summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
TotoPierrot91,197,"('PLATINUM', 'IV', 0)",False,520.0,5318847185,1849,False
Blast your Mind,89,"('PLATINUM', 'IV', 0)",False,520.0,5318847185,1849,False
POMA,416,"('PLATINUM', 'IV', 40)",True,524.0,5318847185,1849,False
Le Prinse,77,"('PLATINUM', 'IV', 68)",False,526.8,5318847185,1849,False
Drogûs,82,"('GOLD', 'I', 31)",False,483.1,5318847185,1849,False
Kaiokén Blue,354,"('PLATINUM', 'IV', 81)",True,528.1,5318847185,1849,True
Huge Chad,303,"('PLATINUM', 'I', 0)",False,580.0,5318847185,1849,True
ManKoon62,290,"('GOLD', 'III', 75)",False,447.5,5318847185,1849,True
UberIInt,343,"('PLATINUM', 'III', 26)",False,542.6,5318847185,1849,True
AscensionKorea,88,"('PLATINUM', 'IV', 18)",False,521.8,5318847185,1849,True
