summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Fransitoh,132,"('GOLD', 'II', 0)",False,460.0,5318904992,1986,True
BIŁGERAT,468,"('GOLD', 'II', 46)",False,464.6,5318904992,1986,True
JibbJab,341,"('GOLD', 'II', 42)",True,464.2,5318904992,1986,True
MascaMW,164,"('GOLD', 'III', 36)",False,443.6,5318904992,1986,True
Cruncky,518,"('PLATINUM', 'IV', 34)",False,523.4,5318904992,1986,True
Twice Chovy,221,"('GOLD', 'III', 0)",True,440.0,5318904992,1986,False
Treetopghost,328,"('GOLD', 'IV', 13)",False,421.3,5318904992,1986,False
ai di mei you xi,219,"('GOLD', 'I', 6)",False,480.6,5318904992,1986,False
EJk wodstif,174,"('GOLD', 'IV', 41)",False,424.1,5318904992,1986,False
Squishilel,115,"('GOLD', 'I', 22)",False,482.2,5318904992,1986,False
