summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
erongrf123,137,"('GOLD', 'IV', 60)",False,426.0,5318877051,1518,True
PescadinhaJúnior,326,"('GOLD', 'III', 74)",True,447.4,5318877051,1518,True
Ze Pignouf,136,"('GOLD', 'IV', 0)",False,420.0,5318877051,1518,True
Pulga Atómica,169,"('GOLD', 'IV', 17)",False,421.7,5318877051,1518,True
Leshke,154,"('GOLD', 'III', 83)",False,448.3,5318877051,1518,True
VYBE,379,"('GOLD', 'IV', 58)",False,425.8,5318877051,1518,False
Nico Brey,327,"('GOLD', 'III', 30)",False,443.0,5318877051,1518,False
Álleria,414,"('GOLD', 'III', 49)",False,444.9,5318877051,1518,False
KL Crabi,271,"('SILVER', 'I', 1)",False,380.1,5318877051,1518,False
Mealaw,85,"('GOLD', 'IV', 48)",False,424.8,5318877051,1518,False
