summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Buriz The King,35,"('SILVER', 'I', 90)",False,389.0,5318890645,2031,True
Ezergil,261,"('GOLD', 'IV', 60)",False,426.0,5318890645,2031,True
RonpichOnTheRift,96,"('GOLD', 'IV', 15)",False,421.5,5318890645,2031,True
MrMxyzpdlk,353,"('GOLD', 'III', 22)",False,442.2,5318890645,2031,True
CardZz,127,"('GOLD', 'IV', 1)",False,420.1,5318890645,2031,True
Sword Raken,108,"('GOLD', 'IV', 0)",False,420.0,5318890645,2031,False
RADNA,238,"('GOLD', 'IV', 90)",False,429.0,5318890645,2031,False
GlimmerBlooms,39,"('GOLD', 'IV', 30)",False,423.0,5318890645,2031,False
Maii,378,"('GOLD', 'IV', 24)",False,422.4,5318890645,2031,False
TejeeeG69,106,"('GOLD', 'IV', 12)",False,421.2,5318890645,2031,False
