summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Wasted 13900 x2,269,"('SILVER', 'I', 0)",False,380.0,5318798909,2989,False
OussamaOR,203,"('SILVER', 'II', 23)",False,362.3,5318798909,2989,False
XoMrRandomXo,68,"('SILVER', 'II', 50)",False,365.0,5318798909,2989,False
MyTeemoBetter,98,"('SILVER', 'II', 19)",False,361.9,5318798909,2989,False
Mrs Tia Dalma,425,"('SILVER', 'II', 50)",True,365.0,5318798909,2989,False
bigfreaky,202,"('GOLD', 'IV', 41)",False,424.1,5318798909,2989,True
ZuneoHacendado,203,"('SILVER', 'II', 67)",False,366.7,5318798909,2989,True
YaSuQ,469,"('SILVER', 'I', 63)",False,386.3,5318798909,2989,True
RANJAS,214,"('SILVER', 'I', 15)",False,381.5,5318798909,2989,True
DokterDoom69,36,"('SILVER', 'II', 47)",False,364.7,5318798909,2989,True
