summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
SuperSardinhao,87,"('BRONZE', 'I', 0)",False,280.0,5318810253,1230,True
Strikonix,113,"('BRONZE', 'I', 33)",True,283.3,5318810253,1230,True
Flyertree61,149,"('SILVER', 'IV', 15)",False,321.5,5318810253,1230,True
Nyugame44,124,"('BRONZE', 'I', 0)",False,280.0,5318810253,1230,True
Venenoenlasangre,100,"('BRONZE', 'II', 59)",False,265.9,5318810253,1230,True
Mr small6055,50,"('BRONZE', 'II', 10)",False,261.0,5318810253,1230,False
Shinobu14,111,"('SILVER', 'III', 31)",False,343.1,5318810253,1230,False
M00NGL0W,164,"('SILVER', 'IV', 39)",True,323.9,5318810253,1230,False
Jhin Tonic 0 0,86,"('BRONZE', 'II', 94)",False,269.4,5318810253,1230,False
SeBaStAiGuEr10,173,"('BRONZE', 'II', 22)",False,262.2,5318810253,1230,False
