summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
boltpin,247,"('SILVER', 'II', 12)",False,361.2,5318902777,2037,True
younoobinot,239,"('SILVER', 'IV', 69)",False,326.9,5318902777,2037,True
Sick Degenerate,272,"('GOLD', 'IV', 0)",False,420.0,5318902777,2037,True
SlavianskaSlayer,186,"('SILVER', 'II', 71)",True,367.1,5318902777,2037,True
JoaoR,214,"('SILVER', 'III', 16)",False,341.6,5318902777,2037,True
yungNuggie,186,"('SILVER', 'II', 29)",False,362.9,5318902777,2037,False
UNC LA CANAILLE,136,"('SILVER', 'III', 17)",False,341.7,5318902777,2037,False
MiguiMikeZ,216,"('SILVER', 'III', 24)",False,342.4,5318902777,2037,False
ivory zlo,252,"('SILVER', 'II', 4)",False,360.4,5318902777,2037,False
Killuo Zoldyck,240,"('SILVER', 'II', 33)",False,363.3,5318902777,2037,False
