summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Calvaneo sucks,287,"('SILVER', 'I', 18)",False,381.8,5318818189,1449,True
LilBobb,57,"('SILVER', 'III', 82)",False,348.2,5318818189,1449,True
Master Stealth,172,"('SILVER', 'I', 0)",False,380.0,5318818189,1449,True
tominsa89,166,"('SILVER', 'I', 69)",False,386.9,5318818189,1449,True
ΚΛΥΠ ΘΤΡ,270,"('SILVER', 'I', 32)",False,383.2,5318818189,1449,True
0nlygoesHam,265,"('SILVER', 'II', 8)",False,360.8,5318818189,1449,False
ScuttleCommander,61,"('GOLD', 'IV', 75)",False,427.5,5318818189,1449,False
Seignorito,114,"('SILVER', 'III', 47)",False,344.7,5318818189,1449,False
Not Master yi 7 ,84,"('SILVER', 'II', 0)",False,360.0,5318818189,1449,False
DEEPSAVAGE,59,"('SILVER', 'II', 43)",False,364.3,5318818189,1449,False
