summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
I suck I know it,404,"('GOLD', 'III', 4)",False,440.4,5318849118,1296,True
Taewan,396,"('GOLD', 'III', 31)",False,443.1,5318849118,1296,True
ObviousCow54,82,"('GOLD', 'I', 17)",False,481.7,5318849118,1296,True
Flee Or Die ,468,"('PLATINUM', 'IV', 61)",False,526.1,5318849118,1296,True
Huyycia,430,"('GOLD', 'II', 0)",False,460.0,5318849118,1296,True
WotaMelone,65,"('GOLD', 'IV', 14)",False,421.4,5318849118,1296,False
99Kurama99,70,"('GOLD', 'I', 100)",True,490.0,5318849118,1296,False
Karaté KiD,237,"('GOLD', 'III', 75)",False,447.5,5318849118,1296,False
Zeveann,53,"('GOLD', 'III', 21)",False,442.1,5318849118,1296,False
Megìddo,229,"('GOLD', 'III', 36)",False,443.6,5318849118,1296,False
