summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
TheOneAndOnły,113,"('GOLD', 'IV', 60)",False,426.0,5318859940,2515,True
Orsain Istara,165,"('GOLD', 'III', 14)",False,441.4,5318859940,2515,True
Ix Utatora xI,577,"('GOLD', 'IV', 0)",False,420.0,5318859940,2515,True
GrosserLilaWurm,235,"('GOLD', 'IV', 44)",False,424.4,5318859940,2515,True
GRG bumish3al,533,"('GOLD', 'III', 43)",False,444.3,5318859940,2515,True
Sacredae,87,"('GOLD', 'IV', 46)",False,424.6,5318859940,2515,False
Soknheith,225,"('GOLD', 'III', 44)",True,444.4,5318859940,2515,False
Italian Leblanc,319,"('GOLD', 'IV', 23)",False,422.3,5318859940,2515,False
RyuuDono,137,"('GOLD', 'IV', 0)",False,420.0,5318859940,2515,False
co tam,237,"('GOLD', 'IV', 22)",False,422.2,5318859940,2515,False
