summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Qµinn to Win,220,"('GOLD', 'IV', 0)",False,420.0,5318892857,1724,False
NoxEvolve,66,"('SILVER', 'IV', 0)",False,320.0,5318892857,1724,False
Ryluu,173,"('GOLD', 'I', 0)",False,480.0,5318892857,1724,False
CapitanChistorra,460,"('GOLD', 'IV', 12)",False,421.2,5318892857,1724,False
ElGafasCuliao,214,"('SILVER', 'I', 20)",False,382.0,5318892857,1724,False
Pauloo Londraa,212,"('GOLD', 'IV', 33)",False,423.3,5318892857,1724,True
99alexandeR,148,"('GOLD', 'IV', 35)",False,423.5,5318892857,1724,True
cartituren,140,"('GOLD', 'IV', 33)",True,423.3,5318892857,1724,True
HardstuckJoeLow,37,"('GOLD', 'III', 50)",False,445.0,5318892857,1724,True
HardstuckBenLow,37,"('SILVER', 'II', 72)",False,367.2,5318892857,1724,True
