summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Tranco8,408,"('PLATINUM', 'IV', 47)",False,524.7,5318857730,2150,True
Lacrimonca,100,"('GOLD', 'I', 7)",False,480.7,5318857730,2150,True
Don Yoriz,250,"('GOLD', 'I', 100)",False,490.0,5318857730,2150,True
Sayonara Eren,82,"('GOLD', 'II', 57)",False,465.7,5318857730,2150,True
Deformed Ciuppy,168,"('GOLD', 'II', 75)",False,467.5,5318857730,2150,True
Pinhs,454,"('GOLD', 'II', 60)",False,466.0,5318857730,2150,False
298547,421,"('GOLD', 'II', 81)",False,468.1,5318857730,2150,False
SK ShòwTime,471,"('GOLD', 'II', 2)",False,460.2,5318857730,2150,False
TeemOrTroll,272,"('PLATINUM', 'IV', 69)",False,526.9,5318857730,2150,False
3OS RTOO,260,"('GOLD', 'II', 60)",False,466.0,5318857730,2150,False
