summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
PortlyGentleman,279,"('BRONZE', 'III', 62)",False,246.2,5318894925,1827,True
spyrogamer,138,"('SILVER', 'IV', 49)",False,324.9,5318894925,1827,True
RuSh N0VA,119,"('BRONZE', 'II', 73)",False,267.3,5318894925,1827,True
ZxPr3s1d3nTXz,297,"('BRONZE', 'III', 64)",False,246.4,5318894925,1827,True
ABFShady,137,"('SILVER', 'IV', 0)",False,320.0,5318894925,1827,True
FNC Draxx,160,"('SILVER', 'IV', 25)",False,322.5,5318894925,1827,False
ByGoozHD,100,"('BRONZE', 'I', 100)",True,290.0,5318894925,1827,False
darkgammer0055,200,"('BRONZE', 'IV', 18)",False,221.8,5318894925,1827,False
Merkulez,418,"('BRONZE', 'II', 75)",False,267.5,5318894925,1827,False
ItsTheEagleHD,124,"('SILVER', 'IV', 20)",False,322.0,5318894925,1827,False
