summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
susta1N,449,"('SILVER', 'III', 58)",False,345.8,5318898173,1748,True
Tiahry,441,"('SILVER', 'I', 15)",False,381.5,5318898173,1748,True
0reoQueen,111,"('SILVER', 'II', 44)",False,364.4,5318898173,1748,True
Kakoum,231,"('GOLD', 'IV', 27)",False,422.7,5318898173,1748,True
DinoFPS,158,"('SILVER', 'II', 83)",False,368.3,5318898173,1748,True
BrOk3n,264,"('SILVER', 'I', 42)",False,384.2,5318898173,1748,False
Zubareva,156,"('SILVER', 'I', 12)",False,381.2,5318898173,1748,False
Hi im Taleya,201,"('SILVER', 'I', 3)",False,380.3,5318898173,1748,False
Triarc aLexX,160,"('SILVER', 'II', 77)",False,367.7,5318898173,1748,False
Morgan Treem4n,249,"('GOLD', 'IV', 12)",False,421.2,5318898173,1748,False
