summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Pineirovski10,67,"('BRONZE', 'II', 40)",False,264.0,5318858588,1225,False
MetalGhoat,178,"('IRON', 'I', 12)",False,181.2,5318858588,1225,False
DonMacondo,40,"('IRON', 'III', 75)",False,147.5,5318858588,1225,False
Sombrals,73,"('BRONZE', 'II', 4)",False,260.4,5318858588,1225,False
mastercondor7,62,"('IRON', 'III', 63)",False,146.3,5318858588,1225,False
donnekouwu,114,"('BRONZE', 'IV', 26)",False,222.6,5318858588,1225,True
JockoEST,174,"('BRONZE', 'IV', 0)",False,220.0,5318858588,1225,True
Oliviaskrrr,114,"('IRON', 'II', 55)",False,165.5,5318858588,1225,True
TEAPARTYSENSEI,50,"('BRONZE', 'III', 70)",False,247.0,5318858588,1225,True
sn0wwDaK1NG,54,"('BRONZE', 'III', 29)",False,242.9,5318858588,1225,True
