summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
5evilangelo,44,"('SILVER', 'IV', 39)",True,323.9,5318867478,1788,False
πÎηφμεε,281,"('SILVER', 'II', 48)",False,364.8,5318867478,1788,False
edugateca,81,"('GOLD', 'IV', 11)",False,421.1,5318867478,1788,False
Thiago Show,369,"('GOLD', 'IV', 12)",False,421.2,5318867478,1788,False
Ozerth,271,"('SILVER', 'I', 87)",False,388.7,5318867478,1788,False
7m7,342,"('GOLD', 'IV', 0)",False,420.0,5318867478,1788,True
LordChori,301,"('GOLD', 'IV', 0)",False,420.0,5318867478,1788,True
hCbTpJoyce,83,"('GOLD', 'IV', 0)",False,420.0,5318867478,1788,True
LTDLPI,164,"('SILVER', 'I', 9)",False,380.9,5318867478,1788,True
As 2 Pyke,292,"('GOLD', 'IV', 37)",True,423.7,5318867478,1788,True
