summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
PsychoMidget,349,"('GOLD', 'III', 6)",False,440.6,5318893703,1524,True
RuiGato,146,"('GOLD', 'III', 4)",False,440.4,5318893703,1524,True
blackcat6,501,"('GOLD', 'IV', 26)",False,422.6,5318893703,1524,True
Sinbon Fife,224,"('GOLD', 'IV', 60)",False,426.0,5318893703,1524,True
S M Y L O L,449,"('SILVER', 'II', 28)",False,362.8,5318893703,1524,True
Houdini20,228,"('SILVER', 'I', 55)",False,385.5,5318893703,1524,False
Nagíni,81,"('GOLD', 'II', 60)",False,466.0,5318893703,1524,False
Roznif,36,"('GOLD', 'III', 25)",False,442.5,5318893703,1524,False
Verhalen,95,"('SILVER', 'II', 57)",False,365.7,5318893703,1524,False
LucianoBtw,262,"('GOLD', 'IV', 49)",False,424.9,5318893703,1524,False
