summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Rob Bodegas,111,"('SILVER', 'II', 1)",True,360.1,5318869840,1497,True
ash1508,158,"('SILVER', 'IV', 12)",False,321.2,5318869840,1497,True
Jairosaiyajin,334,"('SILVER', 'III', 8)",False,340.8,5318869840,1497,True
S t a r g o z,190,"('SILVER', 'III', 8)",False,340.8,5318869840,1497,True
TheBlackWalker,97,"('SILVER', 'III', 61)",True,346.1,5318869840,1497,True
Aeolian,115,"('SILVER', 'IV', 75)",False,327.5,5318869840,1497,False
Mosobil,255,"('SILVER', 'III', 84)",True,348.4,5318869840,1497,False
God Of Corki,100,"('SILVER', 'III', 16)",False,341.6,5318869840,1497,False
kαtαrιnα,152,"('BRONZE', 'I', 80)",False,288.0,5318869840,1497,False
HelixStar EU,69,"('SILVER', 'IV', 50)",False,325.0,5318869840,1497,False
