summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Spanker9,54,"('BRONZE', 'IV', 13)",False,221.3,5318902088,1473,True
enrgy7,34,"('BRONZE', 'IV', 0)",False,220.0,5318902088,1473,True
Esrol,94,"('BRONZE', 'III', 58)",False,245.8,5318902088,1473,True
Guizmettes,163,"('BRONZE', 'III', 39)",False,243.9,5318902088,1473,True
Walframio74,209,"('BRONZE', 'III', 22)",False,242.2,5318902088,1473,True
Louis napoleon,371,"('BRONZE', 'IV', 0)",False,220.0,5318902088,1473,False
coconuteam,50,"('BRONZE', 'IV', 59)",False,225.9,5318902088,1473,False
Popillaa,246,"('BRONZE', 'III', 8)",False,240.8,5318902088,1473,False
bullrotwrecked,100,"('IRON', 'I', 23)",False,182.3,5318902088,1473,False
Segafa,44,"('BRONZE', 'III', 55)",False,245.5,5318902088,1473,False
