summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
OtP ToPLane,99,"('DIAMOND', 'IV', 0)",False,620.0,5318839523,1540,True
Autofilled KEKW,209,"('DIAMOND', 'III', 35)",False,643.5,5318839523,1540,True
leokingo,127,"('PLATINUM', 'I', 24)",False,582.4,5318839523,1540,True
twnty1,332,"('DIAMOND', 'III', 19)",False,641.9,5318839523,1540,True
Big Time Gangsta,193,"('DIAMOND', 'III', 40)",False,644.0,5318839523,1540,True
JP Cooper,68,"('PLATINUM', 'I', 38)",False,583.8,5318839523,1540,False
Pride,296,"('DIAMOND', 'IV', 69)",False,626.9,5318839523,1540,False
C moi Codech,356,"('DIAMOND', 'IV', 96)",True,629.6,5318839523,1540,False
Kh1n,136,"('DIAMOND', 'IV', 11)",False,621.1,5318839523,1540,False
bjørnar xyz,72,"('PLATINUM', 'I', 55)",False,585.5,5318839523,1540,False
