summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
ChristianCarlsen,99,"('GOLD', 'IV', 0)",False,420.0,5318894020,2320,True
Mr Donau,236,"('SILVER', 'I', 41)",False,384.1,5318894020,2320,True
ZeroTwoVII,276,"('GOLD', 'III', 11)",False,441.1,5318894020,2320,True
1337KataProHD,278,"('GOLD', 'IV', 44)",False,424.4,5318894020,2320,True
Scurrnickel,221,"('GOLD', 'IV', 0)",False,420.0,5318894020,2320,True
FooMe19,292,"('GOLD', 'IV', 79)",False,427.9,5318894020,2320,False
FunkyM,409,"('GOLD', 'IV', 25)",False,422.5,5318894020,2320,False
Tebi GG,361,"('GOLD', 'II', 45)",True,464.5,5318894020,2320,False
Johnny Tommy,122,"('SILVER', 'III', 62)",False,346.2,5318894020,2320,False
 ßędö Mąštęr,67,"('SILVER', 'I', 73)",False,387.3,5318894020,2320,False
