summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Là7aa,229,"('BRONZE', 'II', 22)",False,262.2,5318837936,1598,True
Smurfdunbronze6,45,"('BRONZE', 'II', 77)",False,267.7,5318837936,1598,True
Divoomx,119,"('BRONZE', 'IV', 57)",True,225.7,5318837936,1598,True
Catherìne,46,"('BRONZE', 'II', 16)",False,261.6,5318837936,1598,True
Cats daddy,34,"('BRONZE', 'II', 16)",False,261.6,5318837936,1598,True
khaledsoblaban,32,"('BRONZE', 'III', 55)",False,245.5,5318837936,1598,False
R3Drake,50,"('SILVER', 'IV', 0)",False,320.0,5318837936,1598,False
zakymoula,57,"('BRONZE', 'IV', 37)",False,223.7,5318837936,1598,False
Lajota,95,"('BRONZE', 'IV', 71)",False,227.1,5318837936,1598,False
7ûþ brõ,118,"('BRONZE', 'I', 10)",False,281.0,5318837936,1598,False
