summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Aziz Safaa,89,"('SILVER', 'I', 26)",False,382.6,5318807978,2160,False
A17,174,"('SILVER', 'III', 29)",False,342.9,5318807978,2160,False
Criontia,34,"('SILVER', 'III', 14)",False,341.4,5318807978,2160,False
Rushedmind,71,"('SILVER', 'II', 87)",True,368.7,5318807978,2160,False
StinGinG Arr0w,381,"('SILVER', 'II', 54)",False,365.4,5318807978,2160,False
Naïla,233,"('SILVER', 'II', 8)",False,360.8,5318807978,2160,True
Yokobeast,40,"('SILVER', 'III', 71)",False,347.1,5318807978,2160,True
spOOtKing,97,"('SILVER', 'I', 3)",False,380.3,5318807978,2160,True
GREATECLAS,82,"('SILVER', 'I', 78)",True,387.8,5318807978,2160,True
Rixlanchy,189,"('SILVER', 'II', 38)",False,363.8,5318807978,2160,True
