summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
GreenGoddess123,251,"('SILVER', 'III', 38)",False,343.8,5318905130,1503,False
farokinii,370,"('SILVER', 'II', 39)",False,363.9,5318905130,1503,False
INEEDMON3Y,198,"('SILVER', 'III', 16)",False,341.6,5318905130,1503,False
8tOgO,308,"('SILVER', 'IV', 61)",False,326.1,5318905130,1503,False
Traxs770,77,"('SILVER', 'III', 28)",False,342.8,5318905130,1503,False
Drafura,277,"('BRONZE', 'I', 57)",False,285.7,5318905130,1503,True
Le Fou Du Slip ,364,"('SILVER', 'I', 31)",False,383.1,5318905130,1503,True
Poqyhae,63,"('SILVER', 'II', 33)",False,363.3,5318905130,1503,True
StarPrinceBoy,55,"('SILVER', 'III', 52)",False,345.2,5318905130,1503,True
Atktpz,93,"('SILVER', 'II', 43)",False,364.3,5318905130,1503,True
