summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
txxxic hVZe ,96,"('SILVER', 'IV', 60)",False,326.0,5318809363,2196,True
fuse kaos,223,"('SILVER', 'III', 31)",False,343.1,5318809363,2196,True
L U Z l D,240,"('SILVER', 'IV', 99)",False,329.9,5318809363,2196,True
Grstorax,85,"('SILVER', 'III', 1)",False,340.1,5318809363,2196,True
GoMeS101997,232,"('SILVER', 'IV', 77)",False,327.7,5318809363,2196,True
Yuta Økkotsu,270,"('SILVER', 'IV', 13)",False,321.3,5318809363,2196,False
AlTair79,214,"('SILVER', 'III', 0)",False,340.0,5318809363,2196,False
tempvzbgpylixuzn,183,"('SILVER', 'III', 54)",False,345.4,5318809363,2196,False
MysilNOR,105,"('SILVER', 'III', 0)",False,340.0,5318809363,2196,False
RIVEN PLAYER ff,83,"('SILVER', 'IV', 91)",False,329.1,5318809363,2196,False
