summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
fordring0,44,"('SILVER', 'I', 51)",False,385.1,5318819684,1438,False
LebMem002,39,"('SILVER', 'I', 58)",False,385.8,5318819684,1438,False
Optikniga,395,"('GOLD', 'IV', 75)",False,427.5,5318819684,1438,False
KiNG Nidhogg,71,"('GOLD', 'III', 17)",False,441.7,5318819684,1438,False
thesadboy,340,"('GOLD', 'IV', 73)",False,427.3,5318819684,1438,False
LT forgotten,66,"('GOLD', 'IV', 84)",False,428.4,5318819684,1438,True
Kisk0,365,"('SILVER', 'I', 23)",False,382.3,5318819684,1438,True
Chenoyaloth,42,"('GOLD', 'IV', 56)",True,425.6,5318819684,1438,True
Torre69,297,"('GOLD', 'III', 48)",True,444.8,5318819684,1438,True
Ward My Bush Mhm,45,"('GOLD', 'III', 29)",False,442.9,5318819684,1438,True
