summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Knowone,282,"('SILVER', 'IV', 82)",False,328.2,5318798806,2101,True
Ledragonrelou,114,"('SILVER', 'IV', 30)",False,323.0,5318798806,2101,True
Doctor DIsc0,386,"('SILVER', 'IV', 67)",False,326.7,5318798806,2101,True
MrCiccioCat8899,149,"('SILVER', 'III', 7)",False,340.7,5318798806,2101,True
WilliHardcore,217,"('SILVER', 'IV', 6)",False,320.6,5318798806,2101,True
HUECOTRACCA93,53,"('SILVER', 'IV', 43)",False,324.3,5318798806,2101,False
1uckyG4MeR,206,"('SILVER', 'IV', 9)",False,320.9,5318798806,2101,False
PikyMoon,303,"('SILVER', 'IV', 14)",False,321.4,5318798806,2101,False
Rakd0ss,149,"('SILVER', 'IV', 46)",False,324.6,5318798806,2101,False
omaroo,310,"('SILVER', 'IV', 28)",False,322.8,5318798806,2101,False
