summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Nightspy,186,"('GOLD', 'III', 94)",True,449.4,5318869457,1523,False
Bredowsenbier,188,"('GOLD', 'I', 14)",False,481.4,5318869457,1523,False
Radeon,252,"('GOLD', 'I', 20)",False,482.0,5318869457,1523,False
Jammy,237,"('GOLD', 'II', 57)",False,465.7,5318869457,1523,False
ThorEichelschild,617,"('GOLD', 'IV', 78)",False,427.8,5318869457,1523,False
ßuIIy,293,"('GOLD', 'III', 30)",False,443.0,5318869457,1523,True
Akaî,409,"('PLATINUM', 'IV', 1)",True,520.1,5318869457,1523,True
SnowmanSir,302,"('GOLD', 'I', 48)",False,484.8,5318869457,1523,True
Headshot Traps,334,"('GOLD', 'III', 29)",False,442.9,5318869457,1523,True
TH3 RU1N3D 51MP,640,"('PLATINUM', 'III', 17)",False,541.7,5318869457,1523,True
