summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
ZerOdd,249,"('GOLD', 'III', 18)",False,441.8,5318860044,1540,False
Fïzz Khalifa,111,"('GOLD', 'IV', 13)",False,421.3,5318860044,1540,False
xxxguess,107,"('GOLD', 'III', 55)",False,445.5,5318860044,1540,False
alemanya47,127,"('GOLD', 'IV', 42)",False,424.2,5318860044,1540,False
Lauchi05,64,"('GOLD', 'IV', 51)",False,425.1,5318860044,1540,False
overlordhellkite,225,"('GOLD', 'IV', 52)",False,425.2,5318860044,1540,True
Orangenwurzel,131,"('GOLD', 'III', 0)",False,440.0,5318860044,1540,True
Señor Fynkx,111,"('GOLD', 'III', 78)",False,447.8,5318860044,1540,True
JoyBoy354,359,"('GOLD', 'III', 58)",True,445.8,5318860044,1540,True
ThwarLord,396,"('GOLD', 'III', 90)",True,449.0,5318860044,1540,True
