summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
im nerfed,40,"('SILVER', 'IV', 17)",False,321.7,5318890502,2089,True
PuyolSD,71,"('BRONZE', 'I', 71)",True,287.1,5318890502,2089,True
gxxgif,54,"('BRONZE', 'II', 75)",False,267.5,5318890502,2089,True
Ritssyn,107,"('BRONZE', 'II', 28)",False,262.8,5318890502,2089,True
Smashersbanger,70,"('SILVER', 'IV', 21)",True,322.1,5318890502,2089,True
PsychoBoy4K,181,"('SILVER', 'IV', 91)",False,329.1,5318890502,2089,False
ŃłNJA,38,Unknown,Unknown,Unknown,5318890502,2089,False
juankls,162,"('SILVER', 'III', 17)",False,341.7,5318890502,2089,False
TrueDark103,102,"('BRONZE', 'II', 65)",False,266.5,5318890502,2089,False
ezqut,86,"('SILVER', 'II', 62)",False,366.2,5318890502,2089,False
