summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Jìn MøRi,468,"('SILVER', 'III', 68)",False,346.8,5318849260,1656,True
ShowKaPiK,34,"('SILVER', 'I', 31)",False,383.1,5318849260,1656,True
Cheekzz,185,"('SILVER', 'II', 41)",True,364.1,5318849260,1656,True
Aldur der Weise,93,"('SILVER', 'II', 53)",False,365.3,5318849260,1656,True
BlackDiodeLaser,123,"('SILVER', 'II', 55)",False,365.5,5318849260,1656,True
sungurkarto,37,"('SILVER', 'I', 34)",False,383.4,5318849260,1656,False
Razapnee,40,"('SILVER', 'II', 20)",False,362.0,5318849260,1656,False
Wh1teEagle,35,"('SILVER', 'I', 65)",False,386.5,5318849260,1656,False
GhostSoldier18,32,"('SILVER', 'I', 13)",False,381.3,5318849260,1656,False
RΣiskanzler,229,"('SILVER', 'II', 19)",False,361.9,5318849260,1656,False
