summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Neptuniio,137,Unknown,Unknown,Unknown,5318848571,1564,False
nèffèx,276,"('SILVER', 'I', 100)",False,390.0,5318848571,1564,False
Gallo Ciego,115,"('BRONZE', 'III', 14)",False,241.4,5318848571,1564,False
Jet 2 Cyprine,30,Unknown,Unknown,Unknown,5318848571,1564,False
Quickded,33,"('BRONZE', 'I', 37)",False,283.7,5318848571,1564,False
Nlzsgglo,31,Unknown,Unknown,Unknown,5318848571,1564,True
Klo6ar,30,Unknown,Unknown,Unknown,5318848571,1564,True
Laojinful,35,"('SILVER', 'II', 80)",False,368.0,5318848571,1564,True
serban95,35,"('SILVER', 'II', 16)",True,361.6,5318848571,1564,True
Azeous,57,Unknown,Unknown,Unknown,5318848571,1564,True
