summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Daï Kengo,399,"('DIAMOND', 'II', 63)",False,666.3,5318877273,1787,False
Lankalok,393,"('DIAMOND', 'IV', 25)",False,622.5,5318877273,1787,False
Medi,316,"('DIAMOND', 'III', 53)",True,645.3,5318877273,1787,False
LeagueOfLenvas,112,"('DIAMOND', 'II', 0)",False,660.0,5318877273,1787,False
Alpha Nami,117,"('DIAMOND', 'I', 0)",False,680.0,5318877273,1787,False
Weirdolpommy,283,"('DIAMOND', 'II', 60)",False,666.0,5318877273,1787,True
VHZ davidsugerXd,483,"('DIAMOND', 'III', 58)",False,645.8,5318877273,1787,True
Métras,178,"('DIAMOND', 'IV', 61)",False,626.1,5318877273,1787,True
Haytem,245,"('DIAMOND', 'IV', 0)",False,620.0,5318877273,1787,True
RisingXatu,569,"('DIAMOND', 'III', 47)",False,644.7,5318877273,1787,True
