summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
Teamplayer42069,80,"('GOLD', 'III', 50)",False,445.0,5318859229,1844,True
NB SkiNautik,330,"('GOLD', 'II', 97)",False,469.7,5318859229,1844,True
NB Quickayron,365,"('PLATINUM', 'IV', 30)",False,523.0,5318859229,1844,True
HeavenlyEviI,291,"('GOLD', 'II', 37)",False,463.7,5318859229,1844,True
Count On Zed,53,"('GOLD', 'II', 46)",False,464.6,5318859229,1844,True
Starking20,395,"('GOLD', 'I', 53)",False,485.3,5318859229,1844,False
Aleksejs,364,"('PLATINUM', 'IV', 35)",True,523.5,5318859229,1844,False
TheUNFORGIVEN1,507,"('PLATINUM', 'IV', 0)",False,520.0,5318859229,1844,False
zojinr,60,"('GOLD', 'II', 0)",False,460.0,5318859229,1844,False
Bobine le feeder,306,"('PLATINUM', 'IV', 12)",False,521.2,5318859229,1844,False
