summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
NyaNidalee,143,"('PLATINUM', 'IV', 22)",False,522.2,5318876661,3066,False
Créme π,214,"('PLATINUM', 'IV', 19)",False,521.9,5318876661,3066,False
Kern Log Heim,244,"('PLATINUM', 'IV', 0)",False,520.0,5318876661,3066,False
Fisseronnie2,120,"('PLATINUM', 'IV', 84)",False,528.4,5318876661,3066,False
Fred The Rebel,207,"('GOLD', 'II', 61)",False,466.1,5318876661,3066,False
Bonsie,221,"('PLATINUM', 'IV', 84)",True,528.4,5318876661,3066,True
GHR BaNaNa,323,"('PLATINUM', 'IV', 66)",False,526.6,5318876661,3066,True
Yukine Best Boy,135,"('PLATINUM', 'IV', 0)",False,520.0,5318876661,3066,True
Shahnameh,305,"('PLATINUM', 'IV', 2)",False,520.2,5318876661,3066,True
Baumhörnchen,418,"('PLATINUM', 'IV', 61)",False,526.1,5318876661,3066,True
