summonerName,summonerLevel,elo,hot_streak,CalculatedMMR,match_id,GameDuration,Victory
HardDesert57,124,"('BRONZE', 'I', 27)",False,282.7,5318858872,1797,True
xpinkyx97,63,"('BRONZE', 'III', 46)",False,244.6,5318858872,1797,True
Din slaktare,271,"('SILVER', 'III', 39)",True,343.9,5318858872,1797,True
EnvyTheNightII,45,"('SILVER', 'IV', 0)",False,320.0,5318858872,1797,True
Caramux0,412,"('SILVER', 'IV', 22)",False,322.2,5318858872,1797,True
VKA4ALNUBOW,41,"('BRONZE', 'I', 13)",False,281.3,5318858872,1797,False
Onlypain Bøy,36,"('BRONZE', 'I', 76)",False,287.6,5318858872,1797,False
Sno0ppy,100,"('SILVER', 'IV', 0)",False,320.0,5318858872,1797,False
Vaitorinho,187,"('BRONZE', 'II', 93)",True,269.3,5318858872,1797,False
General  YasUO,203,"('SILVER', 'IV', 12)",False,321.2,5318858872,1797,False
